North Carolina, Precipitation, October
Units: Inches
Base Period: 1895-2020
Missing: -99
Date,Value,Anomaly
189510,1.89,-1.46
189610,1.74,-1.61
189710,3.45,0.10
189810,5.22,1.87
189910,4.43,1.08
190010,3.01,-0.34
190110,1.62,-1.73
190210,3.91,0.56
190310,3.51,0.16
190410,1.62,-1.73
190510,2.58,-0.77
190610,4.26,0.91
190710,0.99,-2.36
190810,5.50,2.15
190910,1.97,-1.38
191010,3.54,0.19
191110,4.48,1.13
191210,1.42,-1.93
191310,4.60,1.25
191410,4.22,0.87
191510,3.97,0.62
191610,3.15,-0.20
191710,2.70,-0.65
191810,4.08,0.73
191910,3.88,0.53
192010,0.95,-2.40
192110,2.37,-0.98
192210,4.84,1.49
192310,1.77,-1.58
192410,1.10,-2.25
192510,3.51,0.16
192610,1.77,-1.58
192710,4.13,0.78
192810,2.38,-0.97
192910,7.96,4.61
193010,2.25,-1.10
193110,1.01,-2.34
193210,7.15,3.80
193310,1.09,-2.26
193410,2.12,-1.23
193510,1.49,-1.86
193610,6.05,2.70
193710,4.74,1.39
193810,1.47,-1.88
193910,2.39,-0.96
194010,1.22,-2.13
194110,1.75,-1.60
194210,4.92,1.57
194310,0.98,-2.37
194410,2.90,-0.45
194510,2.29,-1.06
194610,3.46,0.11
194710,4.89,1.54
194810,3.00,-0.35
194910,3.82,0.47
195010,3.46,0.11
195110,1.75,-1.60
195210,1.21,-2.14
195310,0.51,-2.84
195410,3.78,0.43
195510,2.66,-0.69
195610,4.70,1.35
195710,2.65,-0.70
195810,4.19,0.84
195910,7.02,3.67
196010,2.90,-0.45
196110,1.65,-1.70
196210,1.77,-1.58
196310,0.74,-2.61
196410,8.03,4.68
196510,2.76,-0.59
196610,2.74,-0.61
196710,1.80,-1.55
196810,5.12,1.77
196910,2.26,-1.09
197010,4.65,1.30
197110,8.73,5.38
197210,3.75,0.40
197310,1.86,-1.49
197410,1.45,-1.90
197510,3.19,-0.16
197610,5.63,2.28
197710,5.68,2.33
197810,1.25,-2.10
197910,2.20,-1.15
198010,3.84,0.49
198110,2.87,-0.48
198210,4.07,0.72
198310,3.73,0.38
198410,1.83,-1.52
198510,4.24,0.89
198610,3.10,-0.25
198710,1.16,-2.19
198810,3.06,-0.29
198910,4.71,1.36
199010,8.26,4.91
199110,1.66,-1.69
199210,4.09,0.74
199310,3.64,0.29
199410,3.85,0.50
199510,7.07,3.72
199610,3.97,0.62
199710,3.09,-0.26
199810,1.76,-1.59
199910,4.77,1.42
200010,0.08,-3.27
200110,1.21,-2.14
200210,5.46,2.11
200310,3.76,0.41
200410,1.95,-1.40
200510,5.72,2.37
200610,4.04,0.69
200710,4.33,0.98
200810,1.92,-1.43
200910,2.93,-0.42
201010,2.71,-0.64
201110,2.88,-0.47
201210,3.32,-0.03
201310,2.22,-1.13
201410,2.89,-0.46
201510,7.07,3.72
201610,5.63,2.28
201710,4.37,1.02
201810,4.68,1.33
201910,4.90,1.55
202010,4.21,0.86
