North Carolina, Precipitation, November
Units: Inches
Base Period: 1895-2020
Missing: -99
Date,Value,Anomaly
189511,2.95,-0.19
189611,4.70,1.56
189711,2.76,-0.38
189811,3.48,0.34
189911,1.54,-1.60
190011,4.17,1.03
190111,1.38,-1.76
190211,3.99,0.85
190311,1.78,-1.36
190411,3.46,0.32
190511,0.85,-2.29
190611,1.64,-1.50
190711,4.83,1.69
190811,1.77,-1.37
190911,0.77,-2.37
191011,0.83,-2.31
191111,4.07,0.93
191211,2.54,-0.60
191311,1.75,-1.39
191411,3.52,0.38
191511,2.24,-0.90
191611,1.41,-1.73
191711,0.97,-2.17
191811,2.43,-0.71
191911,1.10,-2.04
192011,4.89,1.75
192111,3.14,0.00
192211,0.66,-2.48
192311,3.00,-0.14
192411,1.44,-1.70
192511,3.27,0.13
192611,4.03,0.89
192711,2.47,-0.67
192811,1.47,-1.67
192911,4.45,1.31
193011,3.22,0.08
193111,0.75,-2.39
193211,5.17,2.03
193311,1.01,-2.13
193411,4.91,1.77
193511,3.78,0.64
193611,2.32,-0.82
193711,3.06,-0.08
193811,3.76,0.62
193911,2.05,-1.09
194011,4.20,1.06
194111,1.17,-1.97
194211,1.69,-1.45
194311,1.56,-1.58
194411,3.39,0.25
194511,2.91,-0.23
194611,2.89,-0.25
194711,6.57,3.43
194811,8.62,5.48
194911,2.91,-0.23
195011,1.50,-1.64
195111,3.69,0.55
195211,4.13,0.99
195311,2.39,-0.75
195411,2.82,-0.32
195511,2.39,-0.75
195611,1.67,-1.47
195711,7.04,3.90
195811,1.71,-1.43
195911,2.64,-0.50
196011,1.48,-1.66
196111,2.82,-0.32
196211,5.79,2.65
196311,5.39,2.25
196411,2.12,-1.02
196511,1.66,-1.48
196611,2.06,-1.08
196711,2.62,-0.52
196811,3.93,0.79
196911,3.02,-0.12
197011,2.37,-0.77
197111,2.52,-0.62
197211,5.53,2.39
197311,1.64,-1.50
197411,2.49,-0.65
197511,2.73,-0.41
197611,2.64,-0.50
197711,5.00,1.86
197811,3.98,0.84
197911,5.47,2.33
198011,2.73,-0.41
198111,1.03,-2.11
198211,3.29,0.15
198311,4.50,1.36
198411,2.07,-1.07
198511,6.95,3.81
198611,3.96,0.82
198711,3.50,0.36
198811,3.80,0.66
198911,3.39,0.25
199011,2.19,-0.95
199111,2.12,-1.02
199211,6.35,3.21
199311,2.90,-0.24
199411,3.01,-0.13
199511,4.18,1.04
199611,3.54,0.40
199711,3.77,0.63
199811,2.10,-1.04
199911,2.37,-0.77
200011,3.14,0.00
200111,1.15,-1.99
200211,4.51,1.37
200311,2.79,-0.35
200411,4.00,0.86
200511,3.71,0.57
200611,6.75,3.61
200711,0.91,-2.23
200811,3.49,0.35
200911,6.89,3.75
201011,1.59,-1.55
201111,4.33,1.19
201211,0.93,-2.21
201311,3.53,0.39
201411,3.77,0.63
201511,7.20,4.06
201611,1.11,-2.03
201711,1.30,-1.84
201811,6.33,3.19
201911,3.34,0.20
202011,6.15,3.01
