North Carolina, Precipitation, December
Units: Inches
Base Period: 1895-2020
Missing: -99
Date,Value,Anomaly
189512,2.98,-0.76
189612,2.60,-1.14
189712,3.39,-0.35
189812,2.68,-1.06
189912,2.81,-0.93
190012,4.48,0.74
190112,6.39,2.65
190212,3.63,-0.11
190312,2.15,-1.59
190412,3.50,-0.24
190512,6.86,3.12
190612,3.57,-0.17
190712,5.16,1.42
190812,4.28,0.54
190912,2.70,-1.04
191012,3.51,-0.23
191112,4.17,0.43
191212,3.02,-0.72
191312,4.00,0.26
191412,6.19,2.45
191512,3.76,0.02
191612,2.87,-0.87
191712,2.05,-1.69
191812,5.26,1.52
191912,2.37,-1.37
192012,5.82,2.08
192112,2.33,-1.41
192212,5.15,1.41
192312,2.78,-0.96
192412,4.40,0.66
192512,2.85,-0.89
192612,4.14,0.40
192712,6.51,2.77
192812,2.59,-1.15
192912,3.05,-0.69
193012,4.41,0.67
193112,6.26,2.52
193212,5.97,2.23
193312,1.55,-2.19
193412,2.69,-1.05
193512,3.03,-0.71
193612,6.01,2.27
193712,2.30,-1.44
193812,3.04,-0.70
193912,2.46,-1.28
194012,2.65,-1.09
194112,4.33,0.59
194212,4.96,1.22
194312,3.56,-0.18
194412,2.61,-1.13
194512,6.44,2.70
194612,1.87,-1.87
194712,2.32,-1.42
194812,4.83,1.09
194912,2.21,-1.53
195012,3.28,-0.46
195112,4.47,0.73
195212,3.23,-0.51
195312,5.23,1.49
195412,3.61,-0.13
195512,1.02,-2.72
195612,2.90,-0.84
195712,4.30,0.56
195812,4.14,0.40
195912,3.46,-0.28
196012,2.10,-1.64
196112,5.07,1.33
196212,3.07,-0.67
196312,2.68,-1.06
196412,4.11,0.37
196512,0.48,-3.26
196612,3.31,-0.43
196712,5.71,1.97
196812,2.77,-0.97
196912,4.45,0.71
197012,2.64,-1.10
197112,2.27,-1.47
197212,4.96,1.22
197312,7.05,3.31
197412,4.56,0.82
197512,4.26,0.52
197612,4.68,0.94
197712,3.97,0.23
197812,3.73,-0.01
197912,1.58,-2.16
198012,2.19,-1.55
198112,4.93,1.19
198212,4.77,1.03
198312,6.85,3.11
198412,1.90,-1.84
198512,1.27,-2.47
198612,4.48,0.74
198712,3.30,-0.44
198812,1.05,-2.69
198912,3.93,0.19
199012,3.51,-0.23
199112,3.61,-0.13
199212,3.57,-0.17
199312,3.76,0.02
199412,2.39,-1.35
199512,1.88,-1.86
199612,3.95,0.21
199712,3.93,0.19
199812,4.57,0.83
199912,1.90,-1.84
200012,1.92,-1.82
200112,2.00,-1.74
200212,4.57,0.83
200312,4.14,0.40
200412,2.73,-1.01
200512,4.41,0.67
200612,3.32,-0.42
200712,4.13,0.39
200812,3.93,0.19
200912,7.09,3.35
201012,2.87,-0.87
201112,2.45,-1.29
201212,4.36,0.62
201312,5.61,1.87
201412,3.76,0.02
201512,7.31,3.57
201612,3.19,-0.55
201712,2.85,-0.89
201812,7.06,3.32
201912,4.57,0.83
202012,4.55,0.81
