North Carolina, Precipitation, February
Units: Inches
Base Period: 1895-2020
Missing: -99
Date,Value,Anomaly
189502,2.33,-1.46
189602,5.31,1.52
189702,5.84,2.05
189802,0.93,-2.86
189902,7.78,3.99
190002,5.60,1.81
190102,2.05,-1.74
190202,6.11,2.32
190302,6.68,2.89
190402,3.97,0.18
190502,5.64,1.85
190602,3.48,-0.31
190702,3.60,-0.19
190802,4.90,1.11
190902,4.19,0.40
191002,4.26,0.47
191102,2.07,-1.72
191202,4.12,0.33
191302,3.31,-0.48
191402,4.45,0.66
191502,3.36,-0.43
191602,4.08,0.29
191702,3.20,-0.59
191802,1.41,-2.38
191902,3.84,0.05
192002,4.75,0.96
192102,4.31,0.52
192202,6.02,2.23
192302,3.36,-0.43
192402,4.49,0.70
192502,2.10,-1.69
192602,4.09,0.30
192702,4.04,0.25
192802,3.96,0.17
192902,6.31,2.52
193002,1.35,-2.44
193102,1.67,-2.12
193202,3.01,-0.78
193302,4.16,0.37
193402,3.99,0.20
193502,2.75,-1.04
193602,4.68,0.89
193702,3.98,0.19
193802,1.37,-2.42
193902,7.53,3.74
194002,3.39,-0.40
194102,1.94,-1.85
194202,3.32,-0.47
194302,1.86,-1.93
194402,6.25,2.46
194502,4.91,1.12
194602,3.69,-0.10
194702,1.15,-2.64
194802,4.86,1.07
194902,3.68,-0.11
195002,1.91,-1.88
195102,2.10,-1.69
195202,4.37,0.58
195302,5.11,1.32
195402,2.16,-1.63
195502,3.42,-0.37
195602,5.87,2.08
195702,5.06,1.27
195802,3.91,0.12
195902,3.67,-0.12
196002,5.95,2.16
196102,5.56,1.77
196202,3.82,0.03
196302,3.23,-0.56
196402,5.31,1.52
196502,4.24,0.45
196602,5.19,1.40
196702,4.06,0.27
196802,0.87,-2.92
196902,4.02,0.23
197002,3.66,-0.13
197102,4.98,1.19
197202,4.36,0.57
197302,4.68,0.89
197402,4.24,0.45
197502,4.48,0.69
197602,1.73,-2.06
197702,1.73,-2.06
197802,1.00,-2.79
197902,5.13,1.34
198002,1.71,-2.08
198102,3.47,-0.32
198202,5.79,2.00
198302,6.03,2.24
198402,5.79,2.00
198502,4.82,1.03
198602,2.01,-1.78
198702,4.30,0.51
198802,2.09,-1.70
198902,4.91,1.12
199002,4.43,0.64
199102,1.95,-1.84
199202,2.95,-0.84
199302,2.82,-0.97
199402,3.50,-0.29
199502,4.94,1.15
199602,2.79,-1.00
199702,3.77,-0.02
199802,6.56,2.77
199902,2.56,-1.23
200002,2.01,-1.78
200102,2.76,-1.03
200202,1.64,-2.15
200302,5.19,1.40
200402,3.89,0.10
200502,2.74,-1.05
200602,1.82,-1.97
200702,2.25,-1.54
200802,3.99,0.20
200902,1.69,-2.10
201002,3.77,-0.02
201102,2.56,-1.23
201202,2.22,-1.57
201302,4.09,0.30
201402,3.11,-0.68
201502,3.50,-0.29
201602,5.81,2.02
201702,1.19,-2.60
201802,3.08,-0.71
201902,4.99,1.20
202002,7.01,3.22
202102,6.54,2.75
