North Carolina, Precipitation, March
Units: Inches
Base Period: 1895-2020
Missing: -99
Date,Value,Anomaly
189503,5.69,1.45
189603,2.82,-1.42
189703,5.46,1.22
189803,4.13,-0.11
189903,7.12,2.88
190003,4.48,0.24
190103,4.77,0.53
190203,3.75,-0.49
190303,7.28,3.04
190403,4.25,0.01
190503,2.50,-1.74
190603,5.61,1.37
190703,2.87,-1.37
190803,5.08,0.84
190903,3.27,-0.97
191003,1.67,-2.57
191103,3.72,-0.52
191203,6.81,2.57
191303,6.56,2.32
191403,3.19,-1.05
191503,2.64,-1.60
191603,2.40,-1.84
191703,6.23,1.99
191803,2.21,-2.03
191903,3.72,-0.52
192003,5.10,0.86
192103,3.09,-1.15
192203,6.79,2.55
192303,5.29,1.05
192403,2.62,-1.62
192503,2.51,-1.73
192603,4.22,-0.02
192703,3.35,-0.89
192803,3.45,-0.79
192903,5.87,1.63
193003,2.70,-1.54
193103,3.41,-0.83
193203,4.21,-0.03
193303,2.56,-1.68
193403,5.69,1.45
193503,4.85,0.61
193603,5.88,1.64
193703,2.01,-2.23
193803,2.94,-1.30
193903,3.84,-0.40
194003,3.08,-1.16
194103,4.06,-0.18
194203,5.52,1.28
194303,5.19,0.95
194403,7.06,2.82
194503,2.14,-2.10
194603,3.03,-1.21
194703,3.64,-0.60
194803,4.97,0.73
194903,2.93,-1.31
195003,3.84,-0.40
195103,4.12,-0.12
195203,6.74,2.50
195303,4.45,0.21
195403,4.93,0.69
195503,3.52,-0.72
195603,3.51,-0.73
195703,3.75,-0.49
195803,4.03,-0.21
195903,4.92,0.68
196003,4.53,0.29
196103,4.31,0.07
196203,4.51,0.27
196303,4.94,0.70
196403,4.05,-0.19
196503,5.54,1.30
196603,3.01,-1.23
196703,1.71,-2.53
196803,3.96,-0.28
196903,4.66,0.42
197003,3.95,-0.29
197103,4.95,0.71
197203,3.47,-0.77
197303,5.65,1.41
197403,4.15,-0.09
197503,7.16,2.92
197603,3.33,-0.91
197703,5.97,1.73
197803,4.97,0.73
197903,4.64,0.40
198003,7.30,3.06
198103,2.61,-1.63
198203,2.67,-1.57
198303,7.19,2.95
198403,5.65,1.41
198503,1.52,-2.72
198603,2.69,-1.55
198703,4.51,0.27
198803,2.37,-1.87
198903,5.97,1.73
199003,4.80,0.56
199103,6.24,2.00
199203,3.76,-0.48
199303,6.72,2.48
199403,6.96,2.72
199503,3.32,-0.92
199603,4.57,0.33
199703,4.30,0.06
199803,5.13,0.89
199903,3.09,-1.15
200003,3.36,-0.88
200103,5.25,1.01
200203,4.64,0.40
200303,5.95,1.71
200403,1.93,-2.31
200503,4.02,-0.22
200603,1.44,-2.80
200703,2.94,-1.30
200803,3.87,-0.37
200903,5.38,1.14
201003,4.06,-0.18
201103,5.23,0.99
201203,4.14,-0.10
201303,2.68,-1.56
201403,4.61,0.37
201503,3.43,-0.81
201603,2.14,-2.10
201703,3.64,-0.60
201803,4.11,-0.13
201903,3.22,-1.02
202003,3.31,-0.93
202103,4.13,-0.11
