North Carolina, Precipitation, April
Units: Inches
Base Period: 1895-2020
Missing: -99
Date,Value,Anomaly
189504,6.74,3.12
189604,2.28,-1.34
189704,3.43,-0.19
189804,3.59,-0.03
189904,4.00,0.38
190004,4.78,1.16
190104,5.89,2.27
190204,2.35,-1.27
190304,4.72,1.10
190404,1.45,-2.17
190504,4.44,0.82
190604,1.62,-2.00
190704,4.28,0.66
190804,3.09,-0.53
190904,4.11,0.49
191004,3.39,-0.23
191104,3.69,0.07
191204,3.86,0.24
191304,2.15,-1.47
191404,3.29,-0.33
191504,1.99,-1.63
191604,2.37,-1.25
191704,3.42,-0.20
191804,6.51,2.89
191904,2.76,-0.86
192004,5.47,1.85
192104,3.92,0.30
192204,3.69,0.07
192304,4.30,0.68
192404,4.15,0.53
192504,2.44,-1.18
192604,2.52,-1.10
192704,2.79,-0.83
192804,5.83,2.21
192904,3.09,-0.53
193004,2.06,-1.56
193104,4.15,0.53
193204,2.20,-1.42
193304,3.54,-0.08
193404,3.39,-0.23
193504,4.07,0.45
193604,5.44,1.82
193704,5.84,2.22
193804,4.85,1.23
193904,3.55,-0.07
194004,3.21,-0.41
194104,3.32,-0.30
194204,1.05,-2.57
194304,3.19,-0.43
194404,4.36,0.74
194504,3.16,-0.46
194604,3.84,0.22
194704,3.53,-0.09
194804,2.94,-0.68
194904,4.42,0.80
195004,1.43,-2.19
195104,3.83,0.21
195204,3.00,-0.62
195304,2.75,-0.87
195404,2.98,-0.64
195504,3.68,0.06
195604,4.03,0.41
195704,3.36,-0.26
195804,5.63,2.01
195904,5.65,2.03
196004,3.17,-0.45
196104,4.67,1.05
196204,4.19,0.57
196304,2.50,-1.12
196404,4.40,0.78
196504,3.03,-0.59
196604,2.65,-0.97
196704,2.14,-1.48
196804,3.17,-0.45
196904,3.77,0.15
197004,3.36,-0.26
197104,3.12,-0.50
197204,2.49,-1.13
197304,5.56,1.94
197404,3.60,-0.02
197504,2.49,-1.13
197604,0.73,-2.89
197704,2.78,-0.84
197804,4.63,1.01
197904,4.70,1.08
198004,3.42,-0.20
198104,1.49,-2.13
198204,3.76,0.14
198304,5.27,1.65
198404,4.42,0.80
198504,1.46,-2.16
198604,0.98,-2.64
198704,4.78,1.16
198804,3.51,-0.11
198904,5.00,1.38
199004,2.75,-0.87
199104,4.16,0.54
199204,3.33,-0.29
199304,4.38,0.76
199404,2.17,-1.45
199504,1.07,-2.55
199604,3.26,-0.36
199704,4.86,1.24
199804,5.60,1.98
199904,3.68,0.06
200004,4.97,1.35
200104,1.68,-1.94
200204,1.88,-1.74
200304,6.42,2.80
200404,3.02,-0.60
200504,3.33,-0.29
200604,3.71,0.09
200704,3.25,-0.37
200804,4.98,1.36
200904,2.51,-1.11
201004,1.56,-2.06
201104,3.63,0.01
201204,3.22,-0.40
201304,4.68,1.06
201404,4.91,1.29
201504,4.35,0.73
201604,2.78,-0.84
201704,6.50,2.88
201804,5.16,1.54
201904,5.19,1.57
202004,5.32,1.70
202104,1.94,-1.68
