North Carolina, Precipitation, June
Units: Inches
Base Period: 1895-2020
Missing: -99
Date,Value,Anomaly
189506,3.37,-1.22
189606,4.92,0.33
189706,3.98,-0.61
189806,3.98,-0.61
189906,4.32,-0.27
190006,5.77,1.18
190106,5.11,0.52
190206,4.44,-0.15
190306,5.95,1.36
190406,4.35,-0.24
190506,3.26,-1.33
190606,6.90,2.31
190706,7.23,2.64
190806,4.90,0.31
190906,8.18,3.59
191006,7.56,2.97
191106,3.00,-1.59
191206,5.87,1.28
191306,5.16,0.57
191406,3.35,-1.24
191506,4.09,-0.50
191606,6.23,1.64
191706,6.80,2.21
191806,3.53,-1.06
191906,4.69,0.10
192006,4.90,0.31
192106,2.94,-1.65
192206,6.63,2.04
192306,2.06,-2.53
192406,5.24,0.65
192506,4.30,-0.29
192606,3.83,-0.76
192706,5.11,0.52
192806,5.73,1.14
192906,6.14,1.55
193006,4.71,0.12
193106,2.68,-1.91
193206,4.64,0.05
193306,2.33,-2.26
193406,4.53,-0.06
193506,2.18,-2.41
193606,4.85,0.26
193706,4.31,-0.28
193806,6.44,1.85
193906,4.64,0.05
194006,3.48,-1.11
194106,5.36,0.77
194206,4.59,0.00
194306,4.91,0.32
194406,2.19,-2.40
194506,4.13,-0.46
194606,3.78,-0.81
194706,4.43,-0.16
194806,3.61,-0.98
194906,5.73,1.14
195006,5.09,0.50
195106,5.73,1.14
195206,3.07,-1.52
195306,5.65,1.06
195406,2.22,-2.37
195506,3.69,-0.90
195606,3.44,-1.15
195706,6.06,1.47
195806,4.35,-0.24
195906,3.00,-1.59
196006,3.66,-0.93
196106,7.03,2.44
196206,7.91,3.32
196306,3.56,-1.03
196406,3.54,-1.05
196506,6.77,2.18
196606,3.45,-1.14
196706,3.71,-0.88
196806,3.63,-0.96
196906,6.28,1.69
197006,3.36,-1.23
197106,3.56,-1.03
197206,5.15,0.56
197306,5.72,1.13
197406,4.20,-0.39
197506,3.29,-1.30
197606,5.99,1.40
197706,3.66,-0.93
197806,4.11,-0.48
197906,4.88,0.29
198006,3.73,-0.86
198106,4.06,-0.53
198206,6.26,1.67
198306,4.06,-0.53
198406,2.99,-1.60
198506,3.82,-0.77
198606,2.55,-2.04
198706,4.20,-0.39
198806,3.31,-1.28
198906,7.11,2.52
199006,1.41,-3.18
199106,3.96,-0.63
199206,5.80,1.21
199306,2.50,-2.09
199406,5.23,0.64
199506,9.74,5.15
199606,4.03,-0.56
199706,3.91,-0.68
199806,3.58,-1.01
199906,3.80,-0.79
200006,4.49,-0.10
200106,5.94,1.35
200206,2.97,-1.62
200306,5.53,0.94
200406,5.34,0.75
200506,5.09,0.50
200606,7.63,3.04
200706,3.82,-0.77
200806,2.28,-2.31
200906,4.42,-0.17
201006,3.65,-0.94
201106,3.14,-1.45
201206,2.85,-1.74
201306,9.00,4.41
201406,4.18,-0.41
201506,5.20,0.61
201606,4.32,-0.27
201706,4.70,0.11
201806,3.98,-0.61
201906,5.82,1.23
202006,5.04,0.45
202106,6.21,1.62
