North Carolina, Precipitation, July
Units: Inches
Base Period: 1895-2020
Missing: -99
Date,Value,Anomaly
189507,5.76,0.14
189607,8.10,2.48
189707,6.00,0.38
189807,7.18,1.56
189907,6.30,0.68
190007,3.96,-1.66
190107,6.39,0.77
190207,2.84,-2.78
190307,4.02,-1.60
190407,5.96,0.34
190507,8.18,2.56
190607,9.34,3.72
190707,5.07,-0.55
190807,8.97,3.35
190907,5.75,0.13
191007,5.49,-0.13
191107,3.57,-2.05
191207,4.27,-1.35
191307,5.36,-0.26
191407,4.98,-0.64
191507,4.57,-1.05
191607,9.59,3.97
191707,8.03,2.41
191807,5.62,0.00
191907,9.00,3.38
192007,6.28,0.66
192107,5.49,-0.13
192207,7.35,1.73
192307,5.76,0.14
192407,6.19,0.57
192507,3.18,-2.44
192607,5.36,-0.26
192707,5.62,0.00
192807,5.44,-0.18
192907,5.41,-0.21
193007,4.05,-1.57
193107,6.12,0.50
193207,2.73,-2.89
193307,5.54,-0.08
193407,7.02,1.40
193507,7.40,1.78
193607,7.09,1.47
193707,6.19,0.57
193807,7.74,2.12
193907,7.92,2.30
194007,4.19,-1.43
194107,8.39,2.77
194207,5.33,-0.29
194307,8.21,2.59
194407,6.63,1.01
194507,8.38,2.76
194607,7.99,2.37
194707,5.26,-0.36
194807,4.75,-0.87
194907,6.38,0.76
195007,8.72,3.10
195107,5.28,-0.34
195207,4.21,-1.41
195307,2.84,-2.78
195407,4.02,-1.60
195507,5.74,0.12
195607,6.39,0.77
195707,2.58,-3.04
195807,5.00,-0.62
195907,9.14,3.52
196007,6.98,1.36
196107,4.32,-1.30
196207,5.11,-0.51
196307,4.50,-1.12
196407,6.44,0.82
196507,8.00,2.38
196607,3.87,-1.75
196707,6.64,1.02
196807,5.76,0.14
196907,5.56,-0.06
197007,6.05,0.43
197107,6.25,0.63
197207,5.49,-0.13
197307,4.19,-1.43
197407,4.07,-1.55
197507,8.20,2.58
197607,3.50,-2.12
197707,2.52,-3.10
197807,5.15,-0.47
197907,4.80,-0.82
198007,3.90,-1.72
198107,5.44,-0.18
198207,5.30,-0.32
198307,2.26,-3.36
198407,8.69,3.07
198507,7.22,1.60
198607,4.24,-1.38
198707,3.30,-2.32
198807,4.29,-1.33
198907,6.72,1.10
199007,3.83,-1.79
199107,7.06,1.44
199207,3.42,-2.20
199307,3.73,-1.89
199407,6.01,0.39
199507,4.29,-1.33
199607,6.70,1.08
199707,5.78,0.16
199807,4.02,-1.60
199907,4.35,-1.27
200007,5.23,-0.39
200107,5.35,-0.27
200207,4.48,-1.14
200307,7.70,2.08
200407,5.14,-0.48
200507,6.27,0.65
200607,4.47,-1.15
200707,3.60,-2.02
200807,5.13,-0.49
200907,4.16,-1.46
201007,4.05,-1.57
201107,4.34,-1.28
201207,6.13,0.51
201307,8.41,2.79
201407,5.25,-0.37
201507,4.38,-1.24
201607,5.18,-0.44
201707,4.49,-1.13
201807,6.36,0.74
201907,4.75,-0.87
202007,4.19,-1.43
202107,5.91,0.29
