North Carolina, Precipitation, August
Units: Inches
Base Period: 1895-2020
Missing: -99
Date,Value,Anomaly
189508,5.73,0.48
189608,2.53,-2.72
189708,3.31,-1.94
189808,7.29,2.04
189908,4.51,-0.74
190008,3.56,-1.69
190108,11.72,6.47
190208,4.29,-0.96
190308,5.71,0.46
190408,6.59,1.34
190508,6.36,1.11
190608,9.30,4.05
190708,4.41,-0.84
190808,10.12,4.87
190908,6.33,1.08
191008,7.42,2.17
191108,5.90,0.65
191208,3.08,-2.17
191308,4.68,-0.57
191408,4.92,-0.33
191508,6.41,1.16
191608,4.90,-0.35
191708,3.45,-1.80
191808,3.90,-1.35
191908,4.06,-1.19
192008,7.71,2.46
192108,3.15,-2.10
192208,5.48,0.23
192308,4.54,-0.71
192408,3.75,-1.50
192508,2.81,-2.44
192608,4.20,-1.05
192708,5.64,0.39
192808,8.00,2.75
192908,4.18,-1.07
193008,2.68,-2.57
193108,8.10,2.85
193208,3.85,-1.40
193308,5.80,0.55
193408,5.54,0.29
193508,4.74,-0.51
193608,4.52,-0.73
193708,7.14,1.89
193808,2.72,-2.53
193908,7.43,2.18
194008,9.64,4.39
194108,3.93,-1.32
194208,7.34,2.09
194308,3.11,-2.14
194408,4.30,-0.95
194508,5.21,-0.04
194608,4.59,-0.66
194708,5.27,0.02
194808,4.56,-0.69
194908,9.02,3.77
195008,3.26,-1.99
195108,3.71,-1.54
195208,8.24,2.99
195308,4.21,-1.04
195408,4.03,-1.22
195508,9.25,4.00
195608,4.07,-1.18
195708,4.28,-0.97
195808,6.01,0.76
195908,4.51,-0.74
196008,5.23,-0.02
196108,6.66,1.41
196208,3.66,-1.59
196308,3.40,-1.85
196408,6.84,1.59
196508,3.96,-1.29
196608,6.32,1.07
196708,8.14,2.89
196808,2.73,-2.52
196908,5.93,0.68
197008,6.29,1.04
197108,6.02,0.77
197208,3.20,-2.05
197308,4.78,-0.47
197408,7.75,2.50
197508,2.55,-2.70
197608,3.72,-1.53
197708,4.97,-0.28
197808,5.39,0.14
197908,3.24,-2.01
198008,2.37,-2.88
198108,6.18,0.93
198208,3.65,-1.60
198308,2.84,-2.41
198408,3.53,-1.72
198508,6.32,1.07
198608,8.45,3.20
198708,4.24,-1.01
198808,5.08,-0.17
198908,5.10,-0.15
199008,5.81,0.56
199108,5.76,0.51
199208,8.03,2.78
199308,3.03,-2.22
199408,5.59,0.34
199508,5.13,-0.12
199608,5.85,0.60
199708,1.90,-3.35
199808,5.03,-0.22
199908,4.22,-1.03
200008,5.18,-0.07
200108,4.19,-1.06
200208,4.97,-0.28
200308,6.39,1.14
200408,7.62,2.37
200508,4.07,-1.18
200608,4.85,-0.40
200708,2.05,-3.20
200808,5.97,0.72
200908,5.04,-0.21
201008,4.52,-0.73
201108,6.98,1.73
201208,5.92,0.67
201308,4.79,-0.46
201408,5.22,-0.03
201508,4.00,-1.25
201608,4.49,-0.76
201708,5.15,-0.10
201808,6.61,1.36
201908,5.14,-0.11
202008,7.98,2.73
202108,6.08,0.83
