North Carolina, Precipitation, September
Units: Inches
Base Period: 1895-2020
Missing: -99
Date,Value,Anomaly
189509,1.37,-3.01
189609,5.43,1.05
189709,1.44,-2.94
189809,4.51,0.13
189909,3.05,-1.33
190009,2.38,-2.00
190109,6.03,1.65
190209,4.52,0.14
190309,2.26,-2.12
190409,3.74,-0.64
190509,2.76,-1.62
190609,3.70,-0.68
190709,4.93,0.55
190809,2.76,-1.62
190909,2.97,-1.41
191009,3.23,-1.15
191109,3.65,-0.73
191209,4.95,0.57
191309,5.82,1.44
191409,3.72,-0.66
191509,3.42,-0.96
191609,2.61,-1.77
191709,7.52,3.14
191809,4.46,0.08
191909,1.27,-3.11
192009,4.89,0.51
192109,2.69,-1.69
192209,1.29,-3.09
192309,3.72,-0.66
192409,10.96,6.58
192509,2.16,-2.22
192609,1.67,-2.71
192709,2.06,-2.32
192809,11.50,7.12
192909,5.14,0.76
193009,3.52,-0.86
193109,1.83,-2.55
193209,3.15,-1.23
193309,2.80,-1.58
193409,6.04,1.66
193509,5.47,1.09
193609,4.55,0.17
193709,2.42,-1.96
193809,6.06,1.68
193909,1.48,-2.90
194009,1.61,-2.77
194109,1.61,-2.77
194209,4.76,0.38
194309,2.56,-1.82
194409,6.60,2.22
194509,9.29,4.91
194609,4.27,-0.11
194709,6.03,1.65
194809,4.31,-0.07
194909,4.07,-0.31
195009,4.25,-0.13
195109,2.83,-1.55
195209,3.61,-0.77
195309,5.07,0.69
195409,1.53,-2.85
195509,7.31,2.93
195609,5.90,1.52
195709,7.56,3.18
195809,2.27,-2.11
195909,5.36,0.98
196009,5.26,0.88
196109,1.93,-2.45
196209,4.91,0.53
196309,4.63,0.25
196409,5.07,0.69
196509,2.64,-1.74
196609,4.50,0.12
196709,3.71,-0.67
196809,1.63,-2.75
196909,4.46,0.08
197009,2.38,-2.00
197109,4.48,0.10
197209,4.53,0.15
197309,2.48,-1.90
197409,4.81,0.43
197509,7.89,3.51
197609,4.25,-0.13
197709,5.49,1.11
197809,1.80,-2.58
197909,10.04,5.66
198009,4.53,0.15
198109,2.75,-1.63
198209,3.26,-1.12
198309,3.42,-0.96
198409,4.00,-0.38
198509,2.22,-2.16
198609,1.68,-2.70
198709,6.29,1.91
198809,4.08,-0.30
198909,6.17,1.79
199009,1.31,-3.07
199109,3.06,-1.32
199209,3.06,-1.32
199309,3.88,-0.50
199409,3.61,-0.77
199509,3.31,-1.07
199609,9.14,4.76
199709,5.00,0.62
199809,3.22,-1.16
199909,13.22,8.84
200009,6.36,1.98
200109,2.99,-1.39
200209,4.65,0.27
200309,5.63,1.25
200409,7.97,3.59
200509,2.06,-2.32
200609,6.60,2.22
200709,2.08,-2.30
200809,5.44,1.06
200909,4.39,0.01
201009,7.81,3.43
201109,5.36,0.98
201209,4.43,0.05
201309,2.79,-1.59
201409,5.47,1.09
201509,5.31,0.93
201609,7.59,3.21
201709,3.86,-0.52
201809,10.40,6.02
201909,3.09,-1.29
202009,6.80,2.42
202109,3.00,-1.38
