North Carolina, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1895-2020
Missing: -99
Date,Value,Anomaly
189501,37.7,-2.4
189601,37.9,-2.2
189701,36.4,-3.7
189801,43.4,3.3
189901,40.0,-0.1
190001,39.7,-0.4
190101,39.5,-0.6
190201,36.8,-3.3
190301,39.1,-1.0
190401,34.8,-5.3
190501,35.1,-5.0
190601,42.9,2.8
190701,46.5,6.4
190801,38.0,-2.1
190901,44.2,4.1
191001,39.5,-0.6
191101,44.0,3.9
191201,33.3,-6.8
191301,48.1,8.0
191401,42.0,1.9
191501,39.8,-0.3
191601,45.7,5.6
191701,43.2,3.1
191801,30.4,-9.7
191901,41.6,1.5
192001,39.1,-1.0
192101,41.5,1.4
192201,38.5,-1.6
192301,42.8,2.7
192401,38.4,-1.7
192501,39.4,-0.7
192601,38.8,-1.3
192701,39.9,-0.2
192801,39.7,-0.4
192901,41.4,1.3
193001,42.1,2.0
193101,39.7,-0.4
193201,49.5,9.4
193301,47.0,6.9
193401,43.5,3.4
193501,40.6,0.5
193601,35.8,-4.3
193701,50.5,10.4
193801,39.9,-0.2
193901,42.9,2.8
194001,28.8,-11.3
194101,39.3,-0.8
194201,38.5,-1.6
194301,42.1,2.0
194401,39.9,-0.2
194501,38.4,-1.7
194601,41.2,1.1
194701,45.4,5.3
194801,34.1,-6.0
194901,48.6,8.5
195001,51.5,11.4
195101,41.4,1.3
195201,45.8,5.7
195301,44.8,4.7
195401,41.1,1.0
195501,38.2,-1.9
195601,37.1,-3.0
195701,41.0,0.9
195801,34.8,-5.3
195901,38.7,-1.4
196001,40.8,0.7
196101,35.7,-4.4
196201,38.4,-1.7
196301,36.0,-4.1
196401,39.6,-0.5
196501,40.1,0.0
196601,35.2,-4.9
196701,42.3,2.2
196801,35.7,-4.4
196901,36.7,-3.4
197001,33.4,-6.7
197101,38.0,-2.1
197201,44.6,4.5
197301,39.5,-0.6
197401,50.1,10.0
197501,44.0,3.9
197601,37.3,-2.8
197701,28.4,-11.7
197801,33.5,-6.6
197901,37.3,-2.8
198001,40.4,0.3
198101,33.7,-6.4
198201,34.5,-5.6
198301,38.1,-2.0
198401,36.6,-3.5
198501,34.1,-6.0
198601,38.1,-2.0
198701,38.2,-1.9
198801,34.4,-5.7
198901,44.2,4.1
199001,46.5,6.4
199101,41.6,1.5
199201,41.9,1.8
199301,43.6,3.5
199401,36.3,-3.8
199501,41.2,1.1
199601,38.2,-1.9
199701,40.5,0.4
199801,44.3,4.2
199901,45.0,4.9
200001,38.8,-1.3
200101,39.3,-0.8
200201,42.6,2.5
200301,36.4,-3.7
200401,37.9,-2.2
200501,43.0,2.9
200601,46.6,6.5
200701,44.2,4.1
200801,40.1,0.0
200901,38.7,-1.4
201001,36.6,-3.5
201101,36.2,-3.9
201201,43.9,3.8
201301,44.1,4.0
201401,35.3,-4.8
201501,39.4,-0.7
201601,38.4,-1.7
201701,45.4,5.3
201801,35.9,-4.2
201901,42.0,1.9
202001,46.0,5.9
202101,40.8,0.7
