North Carolina, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1895-2020
Missing: -99
Date,Value,Anomaly
189510,55.4,-4.4
189610,57.0,-2.8
189710,61.9,2.1
189810,60.0,0.2
189910,61.1,1.3
190010,64.1,4.3
190110,58.7,-1.1
190210,60.7,0.9
190310,58.3,-1.5
190410,57.4,-2.4
190510,59.3,-0.5
190610,58.3,-1.5
190710,56.0,-3.8
190810,58.4,-1.4
190910,55.8,-4.0
191010,62.1,2.3
191110,62.1,2.3
191210,60.4,0.6
191310,59.4,-0.4
191410,61.0,1.2
191510,62.1,2.3
191610,60.0,0.2
191710,55.1,-4.7
191810,62.8,3.0
191910,69.0,9.2
192010,60.9,1.1
192110,59.2,-0.6
192210,60.8,1.0
192310,58.0,-1.8
192410,58.3,-1.5
192510,58.3,-1.5
192610,61.3,1.5
192710,61.6,1.8
192810,61.9,2.1
192910,57.6,-2.2
193010,56.3,-3.5
193110,61.4,1.6
193210,60.2,0.4
193310,60.3,0.5
193410,59.1,-0.7
193510,60.0,0.2
193610,61.8,2.0
193710,56.9,-2.9
193810,58.9,-0.9
193910,62.2,2.4
194010,58.6,-1.2
194110,66.0,6.2
194210,60.5,0.7
194310,58.0,-1.8
194410,58.8,-1.0
194510,58.8,-1.0
194610,60.3,0.5
194710,63.6,3.8
194810,55.9,-3.9
194910,63.5,3.7
195010,62.4,2.6
195110,62.5,2.7
195210,55.5,-4.3
195310,61.2,1.4
195410,61.4,1.6
195510,59.1,-0.7
195610,61.4,1.6
195710,55.2,-4.6
195810,57.8,-2.0
195910,61.9,2.1
196010,60.5,0.7
196110,58.1,-1.7
196210,61.1,1.3
196310,59.7,-0.1
196410,55.2,-4.6
196510,57.7,-2.1
196610,57.7,-2.1
196710,57.7,-2.1
196810,60.2,0.4
196910,59.6,-0.2
197010,61.4,1.6
197110,64.4,4.6
197210,57.5,-2.3
197310,61.4,1.6
197410,56.2,-3.6
197510,61.9,2.1
197610,54.4,-5.4
197710,56.5,-3.3
197810,57.6,-2.2
197910,58.2,-1.6
198010,57.0,-2.8
198110,56.6,-3.2
198210,58.4,-1.4
198310,60.0,0.2
198410,65.6,5.8
198510,64.0,4.2
198610,61.7,1.9
198710,53.7,-6.1
198810,53.6,-6.2
198910,59.8,0.0
199010,62.0,2.2
199110,59.8,0.0
199210,56.8,-3.0
199310,58.9,-0.9
199410,58.1,-1.7
199510,61.4,1.6
199610,59.4,-0.4
199710,59.3,-0.5
199810,61.0,1.2
199910,58.7,-1.1
200010,59.7,-0.1
200110,57.7,-2.1
200210,62.1,2.3
200310,58.9,-0.9
200410,61.6,1.8
200510,61.7,1.9
200610,57.7,-2.1
200710,65.4,5.6
200810,57.8,-2.0
200910,58.9,-0.9
201010,60.9,1.1
201110,58.2,-1.6
201210,59.5,-0.3
201310,60.7,0.9
201410,61.4,1.6
201510,60.0,0.2
201610,63.2,3.4
201710,62.8,3.0
201810,62.5,2.7
201910,64.6,4.8
202010,63.1,3.3
