North Carolina, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1895-2020
Missing: -99
Date,Value,Anomaly
189511,50.0,0.4
189611,54.4,4.8
189711,50.3,0.7
189811,46.6,-3.0
189911,50.5,0.9
190011,51.5,1.9
190111,42.8,-6.8
190211,54.3,4.7
190311,45.5,-4.1
190411,46.5,-3.1
190511,48.9,-0.7
190611,49.0,-0.6
190711,47.1,-2.5
190811,50.5,0.9
190911,52.9,3.3
191011,44.0,-5.6
191111,46.3,-3.3
191211,47.2,-2.4
191311,48.6,-1.0
191411,47.3,-2.3
191511,50.5,0.9
191611,49.5,-0.1
191711,45.2,-4.4
191811,48.4,-1.2
191911,50.3,0.7
192011,48.0,-1.6
192111,52.7,3.1
192211,48.9,-0.7
192311,47.3,-2.3
192411,49.5,-0.1
192511,46.8,-2.8
192611,46.3,-3.3
192711,52.5,2.9
192811,49.2,-0.4
192911,50.7,1.1
193011,47.0,-2.6
193111,54.6,5.0
193211,47.4,-2.2
193311,47.8,-1.8
193411,51.1,1.5
193511,52.2,2.6
193611,47.6,-2.0
193711,46.0,-3.6
193811,52.0,2.4
193911,45.8,-3.8
194011,49.0,-0.6
194111,49.9,0.3
194211,51.1,1.5
194311,47.6,-2.0
194411,47.4,-2.2
194511,50.9,1.3
194611,54.1,4.5
194711,46.8,-2.8
194811,54.0,4.4
194911,48.0,-1.6
195011,46.4,-3.2
195111,45.4,-4.2
195211,49.2,-0.4
195311,48.5,-1.1
195411,46.2,-3.4
195511,47.9,-1.7
195611,48.1,-1.5
195711,50.6,1.0
195811,52.5,2.9
195911,49.0,-0.6
196011,49.8,0.2
196111,52.1,2.5
196211,47.2,-2.4
196311,49.9,0.3
196411,53.0,3.4
196511,50.3,0.7
196611,49.2,-0.4
196711,45.3,-4.3
196811,49.6,0.0
196911,46.7,-2.9
197011,49.1,-0.5
197111,48.9,-0.7
197211,48.4,-1.2
197311,52.1,2.5
197411,49.1,-0.5
197511,52.4,2.8
197611,43.2,-6.4
197711,52.2,2.6
197811,53.6,4.0
197911,52.4,2.8
198011,47.4,-2.2
198111,49.0,-0.6
198211,51.7,2.1
198311,49.8,0.2
198411,47.2,-2.4
198511,58.8,9.2
198611,53.0,3.4
198711,51.9,2.3
198811,50.7,1.1
198911,50.6,1.0
199011,52.4,2.8
199111,48.4,-1.2
199211,51.0,1.4
199311,50.2,0.6
199411,53.8,4.2
199511,45.9,-3.7
199611,45.5,-4.1
199711,46.8,-2.8
199811,51.8,2.2
199911,54.5,4.9
200011,47.5,-2.1
200111,54.8,5.2
200211,48.1,-1.5
200311,55.7,6.1
200411,52.8,3.2
200511,52.1,2.5
200611,51.5,1.9
200711,49.5,-0.1
200811,47.2,-2.4
200911,52.7,3.1
201011,50.0,0.4
201111,52.4,2.8
201211,46.3,-3.3
201311,47.8,-1.8
201411,45.8,-3.8
201511,54.4,4.8
201611,51.7,2.1
201711,50.3,0.7
201811,48.4,-1.2
201911,47.4,-2.2
202011,54.8,5.2
