North Carolina, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1895-2020
Missing: -99
Date,Value,Anomaly
189512,41.4,-0.5
189612,39.3,-2.6
189712,42.8,0.9
189812,41.1,-0.8
189912,40.1,-1.8
190012,40.4,-1.5
190112,38.9,-3.0
190212,40.9,-1.0
190312,35.8,-6.1
190412,38.6,-3.3
190512,40.3,-1.6
190612,42.2,0.3
190712,41.5,-0.4
190812,43.9,2.0
190912,36.6,-5.3
191012,35.4,-6.5
191112,44.5,2.6
191212,43.5,1.6
191312,42.9,1.0
191412,38.3,-3.6
191512,38.3,-3.6
191612,40.5,-1.4
191712,31.8,-10.1
191812,45.3,3.4
191912,39.8,-2.1
192012,41.7,-0.2
192112,44.1,2.2
192212,45.1,3.2
192312,48.0,6.1
192412,42.4,0.5
192512,39.9,-2.0
192612,42.4,0.5
192712,42.1,0.2
192812,41.4,-0.5
192912,42.0,0.1
193012,37.2,-4.7
193112,49.2,7.3
193212,45.0,3.1
193312,47.1,5.2
193412,40.6,-1.3
193512,33.8,-8.1
193612,43.0,1.1
193712,39.8,-2.1
193812,41.3,-0.6
193912,41.8,-0.1
194012,45.3,3.4
194112,44.1,2.2
194212,40.0,-1.9
194312,40.6,-1.3
194412,36.8,-5.1
194512,35.7,-6.2
194612,45.1,3.2
194712,39.9,-2.0
194812,44.5,2.6
194912,43.9,2.0
195012,36.5,-5.4
195112,43.6,1.7
195212,40.5,-1.4
195312,42.1,0.2
195412,38.8,-3.1
195512,37.4,-4.5
195612,50.3,8.4
195712,43.4,1.5
195812,36.8,-5.1
195912,42.3,0.4
196012,35.6,-6.3
196112,41.2,-0.7
196212,37.4,-4.5
196312,33.8,-8.1
196412,44.0,2.1
196512,42.2,0.3
196612,40.3,-1.6
196712,45.0,3.1
196812,38.1,-3.8
196912,38.3,-3.6
197012,43.6,1.7
197112,50.1,8.2
197212,46.1,4.2
197312,42.3,0.4
197412,42.3,0.4
197512,41.3,-0.6
197612,38.1,-3.8
197712,40.3,-1.6
197812,43.1,1.2
197912,42.3,0.4
198012,40.8,-1.1
198112,38.1,-3.8
198212,47.2,5.3
198312,39.4,-2.5
198412,49.4,7.5
198512,39.1,-2.8
198612,42.4,0.5
198712,43.7,1.8
198812,40.7,-1.2
198912,33.4,-8.5
199012,47.3,5.4
199112,45.6,3.7
199212,41.9,0.0
199312,39.8,-2.1
199412,46.6,4.7
199512,38.3,-3.6
199612,44.4,2.5
199712,41.6,-0.3
199812,47.0,5.1
199912,43.4,1.5
200012,35.1,-6.8
200112,48.0,6.1
200212,40.5,-1.4
200312,40.3,-1.6
200412,41.9,0.0
200512,40.0,-1.9
200612,47.1,5.2
200712,47.5,5.6
200812,46.1,4.2
200912,40.7,-1.2
201012,33.6,-8.3
201112,46.9,5.0
201212,47.6,5.7
201312,45.4,3.5
201412,45.1,3.2
201512,54.7,12.8
201612,44.0,2.1
201712,42.4,0.5
201812,45.0,3.1
201912,46.6,4.7
202012,42.2,0.3
