North Carolina, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1895-2020
Missing: -99
Date,Value,Anomaly
189503,46.9,-2.6
189603,46.7,-2.8
189703,51.1,1.6
189803,53.5,4.0
189903,49.7,0.2
190003,46.3,-3.2
190103,49.5,0.0
190203,49.4,-0.1
190303,55.6,6.1
190403,49.6,0.1
190503,51.9,2.4
190603,45.0,-4.5
190703,54.6,5.1
190803,54.8,5.3
190903,47.4,-2.1
191003,54.5,5.0
191103,47.5,-2.0
191203,47.4,-2.1
191303,52.6,3.1
191403,43.7,-5.8
191503,40.8,-8.7
191603,47.3,-2.2
191703,48.4,-1.1
191803,53.9,4.4
191903,50.9,1.4
192003,48.0,-1.5
192103,58.3,8.8
192203,51.1,1.6
192303,50.5,1.0
192403,45.9,-3.6
192503,51.5,2.0
192603,43.3,-6.2
192703,50.3,0.8
192803,48.8,-0.7
192903,53.3,3.8
193003,46.9,-2.6
193103,43.9,-5.6
193203,46.0,-3.5
193303,48.9,-0.6
193403,46.6,-2.9
193503,54.8,5.3
193603,52.0,2.5
193703,46.9,-2.6
193803,54.8,5.3
193903,52.3,2.8
194003,46.3,-3.2
194103,43.1,-6.4
194203,50.7,1.2
194303,47.7,-1.8
194403,48.1,-1.4
194503,58.6,9.1
194603,55.5,6.0
194703,41.3,-8.2
194803,53.0,3.5
194903,49.6,0.1
195003,46.9,-2.6
195103,48.8,-0.7
195203,48.3,-1.2
195303,50.6,1.1
195403,48.5,-1.0
195503,52.4,2.9
195603,48.4,-1.1
195703,47.8,-1.7
195803,44.3,-5.2
195903,47.4,-2.1
196003,37.1,-12.4
196103,52.4,2.9
196203,45.4,-4.1
196303,52.4,2.9
196403,49.3,-0.2
196503,45.6,-3.9
196603,47.9,-1.6
196703,51.2,1.7
196803,50.2,0.7
196903,43.5,-6.0
197003,47.8,-1.7
197103,45.4,-4.1
197203,49.0,-0.5
197303,53.5,4.0
197403,53.4,3.9
197503,47.6,-1.9
197603,54.1,4.6
197703,52.9,3.4
197803,46.7,-2.8
197903,50.6,1.1
198003,46.2,-3.3
198103,45.8,-3.7
198203,50.6,1.1
198303,50.1,0.6
198403,47.1,-2.4
198503,51.9,2.4
198603,49.8,0.3
198703,48.2,-1.3
198803,49.2,-0.3
198903,50.4,0.9
199003,53.3,3.8
199103,52.2,2.7
199203,48.8,-0.7
199303,46.5,-3.0
199403,51.2,1.7
199503,51.7,2.2
199603,45.2,-4.3
199703,54.4,4.9
199803,49.4,-0.1
199903,46.6,-2.9
200003,53.4,3.9
200103,47.2,-2.3
200203,51.1,1.6
200303,52.8,3.3
200403,51.8,2.3
200503,47.2,-2.3
200603,49.8,0.3
200703,53.8,4.3
200803,51.0,1.5
200903,49.3,-0.2
201003,49.5,0.0
201103,50.6,1.1
201203,58.7,9.2
201303,44.0,-5.5
201403,45.5,-4.0
201503,50.7,1.2
201603,56.2,6.7
201703,50.0,0.5
201803,46.3,-3.2
201903,48.8,-0.7
202003,55.9,6.4
202103,53.1,3.6
