North Carolina, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1895-2020
Missing: -99
Date,Value,Anomaly
189504,56.1,-2.0
189604,62.0,3.9
189704,57.5,-0.6
189804,53.7,-4.4
189904,55.7,-2.4
190004,57.6,-0.5
190104,51.7,-6.4
190204,55.7,-2.4
190304,56.4,-1.7
190404,54.5,-3.6
190504,57.5,-0.6
190604,59.5,1.4
190704,50.8,-7.3
190804,61.2,3.1
190904,58.7,0.6
191004,58.5,0.4
191104,54.5,-3.6
191204,59.9,1.8
191304,57.2,-0.9
191404,57.9,-0.2
191504,58.6,0.5
191604,56.3,-1.8
191704,59.3,1.2
191804,55.5,-2.6
191904,57.2,-0.9
192004,56.7,-1.4
192104,59.8,1.7
192204,60.0,1.9
192304,56.4,-1.7
192404,56.4,-1.7
192504,60.8,2.7
192604,55.8,-2.3
192704,57.9,-0.2
192804,55.2,-2.9
192904,60.5,2.4
193004,58.5,0.4
193104,55.8,-2.3
193204,57.1,-1.0
193304,57.5,-0.6
193404,58.7,0.6
193504,56.5,-1.6
193604,55.8,-2.3
193704,57.0,-1.1
193804,59.2,1.1
193904,57.6,-0.5
194004,56.0,-2.1
194104,60.3,2.2
194204,59.8,1.7
194304,56.2,-1.9
194404,57.6,-0.5
194504,61.7,3.6
194604,58.7,0.6
194704,60.3,2.2
194804,60.9,2.8
194904,56.8,-1.3
195004,56.1,-2.0
195104,57.0,-1.1
195204,58.2,0.1
195304,58.0,-0.1
195404,62.2,4.1
195504,61.4,3.3
195604,56.2,-1.9
195704,61.2,3.1
195804,57.7,-0.4
195904,59.4,1.3
196004,60.8,2.7
196104,53.0,-5.1
196204,55.9,-2.2
196304,59.5,1.4
196404,58.4,0.3
196504,58.1,0.0
196604,55.8,-2.3
196704,60.4,2.3
196804,58.0,-0.1
196904,58.8,0.7
197004,59.6,1.5
197104,56.2,-1.9
197204,57.1,-1.0
197304,56.6,-1.5
197404,58.8,0.7
197504,55.7,-2.4
197604,59.2,1.1
197704,61.3,3.2
197804,58.7,0.6
197904,58.9,0.8
198004,58.6,0.5
198104,61.5,3.4
198204,55.4,-2.7
198304,53.8,-4.3
198404,55.3,-2.8
198504,60.9,2.8
198604,59.9,1.8
198704,55.1,-3.0
198804,57.0,-1.1
198904,56.7,-1.4
199004,57.8,-0.3
199104,60.6,2.5
199204,57.3,-0.8
199304,55.4,-2.7
199404,61.3,3.2
199504,59.4,1.3
199604,57.4,-0.7
199704,54.5,-3.6
199804,58.5,0.4
199904,60.4,2.3
200004,56.9,-1.2
200104,59.8,1.7
200204,62.5,4.4
200304,57.6,-0.5
200404,58.8,0.7
200504,57.6,-0.5
200604,61.7,3.6
200704,57.3,-0.8
200804,58.7,0.6
200904,58.7,0.6
201004,61.3,3.2
201104,61.4,3.3
201204,59.2,1.1
201304,58.7,0.6
201404,59.2,1.1
201504,60.0,1.9
201604,58.7,0.6
201704,63.9,5.8
201804,56.1,-2.0
201904,61.1,3.0
202004,57.5,-0.6
202104,58.5,0.4
