North Carolina, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1895-2020
Missing: -99
Date,Value,Anomaly
189505,63.9,-2.7
189605,72.7,6.1
189705,64.6,-2.0
189805,68.6,2.0
189905,68.2,1.6
190005,66.9,0.3
190105,66.8,0.2
190205,69.6,3.0
190305,67.2,0.6
190405,65.7,-0.9
190505,69.2,2.6
190605,66.2,-0.4
190705,64.7,-1.9
190805,67.1,0.5
190905,65.0,-1.6
191005,64.3,-2.3
191105,68.7,2.1
191205,67.5,0.9
191305,67.4,0.8
191405,67.5,0.9
191505,67.8,1.2
191605,69.6,3.0
191705,62.0,-4.6
191805,69.8,3.2
191905,67.2,0.6
192005,62.6,-4.0
192105,64.0,-2.6
192205,67.2,0.6
192305,64.8,-1.8
192405,64.3,-2.3
192505,63.4,-3.2
192605,66.4,-0.2
192705,67.6,1.0
192805,64.0,-2.6
192905,66.0,-0.6
193005,68.6,2.0
193105,65.0,-1.6
193205,65.4,-1.2
193305,71.1,4.5
193405,66.2,-0.4
193505,65.5,-1.1
193605,68.6,2.0
193705,66.5,-0.1
193805,67.7,1.1
193905,66.4,-0.2
194005,65.4,-1.2
194105,68.4,1.8
194205,68.2,1.6
194305,68.8,2.2
194405,70.4,3.8
194505,63.9,-2.7
194605,65.9,-0.7
194705,67.3,0.7
194805,67.1,0.5
194905,66.9,0.3
195005,67.8,1.2
195105,65.4,-1.2
195205,67.7,1.1
195305,71.8,5.2
195405,62.5,-4.1
195505,68.4,1.8
195605,67.1,0.5
195705,67.7,1.1
195805,66.8,0.2
195905,69.2,2.6
196005,65.4,-1.2
196105,63.2,-3.4
196205,70.8,4.2
196305,64.7,-1.9
196405,67.0,0.4
196505,70.3,3.7
196605,65.0,-1.6
196705,62.7,-3.9
196805,64.0,-2.6
196905,65.9,-0.7
197005,67.2,0.6
197105,63.9,-2.7
197205,63.5,-3.1
197305,64.3,-2.3
197405,66.5,-0.1
197505,68.1,1.5
197605,64.0,-2.6
197705,67.7,1.1
197805,64.5,-2.1
197905,65.6,-1.0
198005,66.4,-0.2
198105,63.8,-2.8
198205,68.8,2.2
198305,64.9,-1.7
198405,65.1,-1.5
198505,67.0,0.4
198605,66.8,0.2
198705,68.4,1.8
198805,64.7,-1.9
198905,63.4,-3.2
199005,66.1,-0.5
199105,70.5,3.9
199205,62.1,-4.5
199305,67.1,0.5
199405,62.9,-3.7
199505,66.6,0.0
199605,67.4,0.8
199705,62.4,-4.2
199805,68.4,1.8
199905,65.2,-1.4
200005,69.1,2.5
200105,66.3,-0.3
200205,65.3,-1.3
200305,65.8,-0.8
200405,71.1,4.5
200505,63.3,-3.3
200605,64.2,-2.4
200705,66.0,-0.6
200805,64.8,-1.8
200905,67.5,0.9
201005,69.5,2.9
201105,67.6,1.0
201205,69.6,3.0
201305,65.1,-1.5
201405,68.5,1.9
201505,68.6,2.0
201605,65.8,-0.8
201705,67.7,1.1
201805,71.6,5.0
201905,72.2,5.6
202005,63.6,-3.0
202105,65.5,-1.1
