North Carolina, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1895-2020
Missing: -99
Date,Value,Anomaly
189506,74.6,0.8
189606,73.5,-0.3
189706,74.8,1.0
189806,75.0,1.2
189906,75.7,1.9
190006,74.3,0.5
190106,73.6,-0.2
190206,74.3,0.5
190306,70.1,-3.7
190406,73.2,-0.6
190506,74.2,0.4
190606,74.4,0.6
190706,69.6,-4.2
190806,72.5,-1.3
190906,75.2,1.4
191006,70.8,-3.0
191106,76.1,2.3
191206,71.8,-2.0
191306,73.0,-0.8
191406,77.0,3.2
191506,71.5,-2.3
191606,71.8,-2.0
191706,72.9,-0.9
191806,72.6,-1.2
191906,73.1,-0.7
192006,73.0,-0.8
192106,75.2,1.4
192206,74.9,1.1
192306,75.1,1.3
192406,74.8,1.0
192506,76.7,2.9
192606,72.9,-0.9
192706,71.3,-2.5
192806,73.0,-0.8
192906,72.0,-1.8
193006,72.3,-1.5
193106,74.2,0.4
193206,74.6,0.8
193306,75.5,1.7
193406,76.3,2.5
193506,74.6,0.8
193606,73.9,0.1
193706,75.8,2.0
193806,72.1,-1.7
193906,77.3,3.5
194006,75.4,1.6
194106,74.0,0.2
194206,75.8,2.0
194306,78.3,4.5
194406,76.8,3.0
194506,74.8,1.0
194606,73.0,-0.8
194706,72.7,-1.1
194806,74.4,0.6
194906,74.6,0.8
195006,73.9,0.1
195106,74.3,0.5
195206,78.6,4.8
195306,74.3,0.5
195406,74.4,0.6
195506,69.5,-4.3
195606,73.9,0.1
195706,74.9,1.1
195806,72.7,-1.1
195906,73.3,-0.5
196006,73.6,-0.2
196106,71.5,-2.3
196206,72.4,-1.4
196306,72.0,-1.8
196406,74.4,0.6
196506,70.9,-2.9
196606,70.8,-3.0
196706,70.2,-3.6
196806,72.9,-0.9
196906,74.8,1.0
197006,73.1,-0.7
197106,74.6,0.8
197206,69.3,-4.5
197306,74.1,0.3
197406,70.5,-3.3
197506,73.2,-0.6
197606,71.6,-2.2
197706,72.5,-1.3
197806,73.4,-0.4
197906,69.8,-4.0
198006,72.2,-1.6
198106,77.0,3.2
198206,72.6,-1.2
198306,71.7,-2.1
198406,74.4,0.6
198506,73.7,-0.1
198606,75.9,2.1
198706,74.8,1.0
198806,72.0,-1.8
198906,75.1,1.3
199006,73.7,-0.1
199106,74.0,0.2
199206,70.5,-3.3
199306,74.4,0.6
199406,75.5,1.7
199506,72.2,-1.6
199606,73.9,0.1
199706,70.3,-3.5
199806,75.8,2.0
199906,72.4,-1.4
200006,75.0,1.2
200106,74.3,0.5
200206,75.2,1.4
200306,72.5,-1.3
200406,74.4,0.6
200506,73.5,-0.3
200606,73.1,-0.7
200706,74.1,0.3
200806,77.1,3.3
200906,75.1,1.3
201006,78.8,5.0
201106,77.0,3.2
201206,72.3,-1.5
201306,74.3,0.5
201406,75.2,1.4
201506,77.3,3.5
201606,75.3,1.5
201706,73.8,0.0
201806,76.8,3.0
201906,74.2,0.4
202006,73.2,-0.6
202106,73.9,0.1
