North Carolina, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1895-2020
Missing: -99
Date,Value,Anomaly
189507,75.3,-1.8
189607,77.6,0.5
189707,77.1,0.0
189807,77.6,0.5
189907,76.4,-0.7
190007,79.1,2.0
190107,78.6,1.5
190207,78.2,1.1
190307,77.4,0.3
190407,75.8,-1.3
190507,76.8,-0.3
190607,75.5,-1.6
190707,77.5,0.4
190807,76.8,-0.3
190907,74.1,-3.0
191007,76.9,-0.2
191107,76.9,-0.2
191207,76.3,-0.8
191307,78.3,1.2
191407,76.7,-0.4
191507,77.1,0.0
191607,75.8,-1.3
191707,76.4,-0.7
191807,73.5,-3.6
191907,76.7,-0.4
192007,75.3,-1.8
192107,77.7,0.6
192207,77.2,0.1
192307,76.2,-0.9
192407,74.9,-2.2
192507,78.6,1.5
192607,77.7,0.6
192707,75.8,-1.3
192807,77.2,0.1
192907,75.4,-1.7
193007,78.9,1.8
193107,79.7,2.6
193207,79.3,2.2
193307,76.1,-1.0
193407,79.3,2.2
193507,77.0,-0.1
193607,78.4,1.3
193707,76.8,-0.3
193807,76.0,-1.1
193907,76.2,-0.9
194007,76.3,-0.8
194107,77.8,0.7
194207,78.9,1.8
194307,76.9,-0.2
194407,75.5,-1.6
194507,76.7,-0.4
194607,75.4,-1.7
194707,73.6,-3.5
194807,78.0,0.9
194907,78.8,1.7
195007,75.4,-1.7
195107,77.3,0.2
195207,78.6,1.5
195307,77.7,0.6
195407,77.9,0.8
195507,78.4,1.3
195607,77.0,-0.1
195707,76.6,-0.5
195807,78.1,1.0
195907,76.6,-0.5
196007,75.6,-1.5
196107,76.3,-0.8
196207,75.3,-1.8
196307,74.8,-2.3
196407,75.1,-2.0
196507,75.2,-1.9
196607,76.9,-0.2
196707,74.5,-2.6
196807,76.4,-0.7
196907,78.1,1.0
197007,76.7,-0.4
197107,75.4,-1.7
197207,75.8,-1.3
197307,76.1,-1.0
197407,75.3,-1.8
197507,75.1,-2.0
197607,75.7,-1.4
197707,79.1,2.0
197807,76.1,-1.0
197907,74.8,-2.3
198007,78.2,1.1
198107,77.5,0.4
198207,76.7,-0.4
198307,77.9,0.8
198407,74.8,-2.3
198507,75.8,-1.3
198607,80.1,3.0
198707,78.7,1.6
198807,76.9,-0.2
198907,76.5,-0.6
199007,78.0,0.9
199107,79.0,1.9
199207,78.7,1.6
199307,80.7,3.6
199407,77.6,0.5
199507,78.1,1.0
199607,76.6,-0.5
199707,77.5,0.4
199807,78.4,1.3
199907,78.6,1.5
200007,75.4,-1.7
200107,74.6,-2.5
200207,78.7,1.6
200307,76.6,-0.5
200407,77.3,0.2
200507,79.2,2.1
200607,77.6,0.5
200707,75.8,-1.3
200807,76.6,-0.5
200907,75.2,-1.9
201007,79.4,2.3
201107,80.0,2.9
201207,80.3,3.2
201307,77.0,-0.1
201407,75.7,-1.4
201507,78.5,1.4
201607,80.1,3.0
201707,78.7,1.6
201807,77.2,0.1
201907,79.0,1.9
202007,79.7,2.6
202107,77.1,0.0
