North Carolina, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1895-2020
Missing: -99
Date,Value,Anomaly
189508,76.1,0.2
189608,77.1,1.2
189708,75.1,-0.8
189808,76.9,1.0
189908,77.4,1.5
190008,80.2,4.3
190108,76.0,0.1
190208,75.4,-0.5
190308,76.3,0.4
190408,74.7,-1.2
190508,74.2,-1.7
190608,77.6,1.7
190708,75.0,-0.9
190808,74.3,-1.6
190908,74.1,-1.8
191008,74.8,-1.1
191108,77.2,1.3
191208,75.4,-0.5
191308,75.0,-0.9
191408,76.5,0.6
191508,75.5,-0.4
191608,76.0,0.1
191708,74.8,-1.1
191808,77.2,1.3
191908,75.2,-0.7
192008,74.6,-1.3
192108,75.3,-0.6
192208,73.2,-2.7
192308,76.4,0.5
192408,76.5,0.6
192508,74.9,-1.0
192608,78.3,2.4
192708,72.7,-3.2
192808,77.3,1.4
192908,74.4,-1.5
193008,74.0,-1.9
193108,75.1,-0.8
193208,76.2,0.3
193308,75.9,0.0
193408,76.9,1.0
193508,76.3,0.4
193608,77.0,1.1
193708,76.7,0.8
193808,77.8,1.9
193908,76.0,0.1
194008,75.2,-0.7
194108,76.8,0.9
194208,75.2,-0.7
194308,77.0,1.1
194408,74.3,-1.6
194508,74.6,-1.3
194608,73.2,-2.7
194708,76.8,0.9
194808,74.8,-1.1
194908,75.9,0.0
195008,74.0,-1.9
195108,76.7,0.8
195208,75.5,-0.4
195308,75.8,-0.1
195408,77.3,1.4
195508,77.1,1.2
195608,75.9,0.0
195708,74.3,-1.6
195808,76.0,0.1
195908,77.3,1.4
196008,76.6,0.7
196108,75.3,-0.6
196208,74.9,-1.0
196308,74.9,-1.0
196408,73.6,-2.3
196508,75.6,-0.3
196608,74.7,-1.2
196708,73.4,-2.5
196808,77.7,1.8
196908,73.5,-2.4
197008,75.7,-0.2
197108,74.3,-1.6
197208,74.9,-1.0
197308,75.7,-0.2
197408,74.6,-1.3
197508,77.3,1.4
197608,73.4,-2.5
197708,76.9,1.0
197808,77.0,1.1
197908,75.8,-0.1
198008,78.0,2.1
198108,73.4,-2.5
198208,74.3,-1.6
198308,78.0,2.1
198408,75.6,-0.3
198508,74.3,-1.6
198608,74.4,-1.5
198708,77.9,2.0
198808,78.2,2.3
198908,74.9,-1.0
199008,76.5,0.6
199108,75.6,-0.3
199208,73.4,-2.5
199308,76.3,0.4
199408,74.0,-1.9
199508,77.6,1.7
199608,74.3,-1.6
199708,74.2,-1.7
199808,76.5,0.6
199908,77.8,1.9
200008,75.0,-0.9
200108,76.7,0.8
200208,77.0,1.1
200308,77.3,1.4
200408,73.9,-2.0
200508,78.1,2.2
200608,78.3,2.4
200708,80.6,4.7
200808,75.5,-0.4
200908,77.4,1.5
201008,78.6,2.7
201108,77.7,1.8
201208,75.6,-0.3
201308,74.4,-1.5
201408,74.3,-1.6
201508,76.1,0.2
201608,79.2,3.3
201708,75.8,-0.1
201808,77.3,1.4
201908,77.0,1.1
202008,77.6,1.7
202108,77.8,1.9
