North Carolina, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1895-2020
Missing: -99
Date,Value,Anomaly
189509,74.1,3.6
189609,70.3,-0.2
189709,70.6,0.1
189809,72.0,1.5
189909,69.4,-1.1
190009,74.1,3.6
190109,69.6,-0.9
190209,68.4,-2.1
190309,68.7,-1.8
190409,69.8,-0.7
190509,71.5,1.0
190609,73.6,3.1
190709,72.0,1.5
190809,68.0,-2.5
190909,67.7,-2.8
191009,71.7,1.2
191109,74.5,4.0
191209,73.5,3.0
191309,67.9,-2.6
191409,67.6,-2.9
191509,72.0,1.5
191609,68.1,-2.4
191709,66.7,-3.8
191809,65.6,-4.9
191909,70.0,-0.5
192009,71.7,1.2
192109,76.7,6.2
192209,71.3,0.8
192309,71.7,1.2
192409,66.7,-3.8
192509,76.4,5.9
192609,73.7,3.2
192709,71.4,0.9
192809,67.4,-3.1
192909,69.6,-0.9
193009,74.5,4.0
193109,73.9,3.4
193209,70.1,-0.4
193309,75.1,4.6
193409,72.3,1.8
193509,69.9,-0.6
193609,72.3,1.8
193709,67.8,-2.7
193809,70.5,0.0
193909,72.5,2.0
194009,68.2,-2.3
194109,73.1,2.6
194209,71.5,1.0
194309,67.6,-2.9
194409,71.4,0.9
194509,73.5,3.0
194609,69.6,-0.9
194709,71.2,0.7
194809,68.9,-1.6
194909,68.0,-2.5
195009,68.8,-1.7
195109,70.3,-0.2
195209,69.2,-1.3
195309,69.6,-0.9
195409,72.9,2.4
195509,71.2,0.7
195609,68.2,-2.3
195709,71.8,1.3
195809,69.2,-1.3
195909,70.4,-0.1
196009,70.3,-0.2
196109,72.1,1.6
196209,67.9,-2.6
196309,66.9,-3.6
196409,68.9,-1.6
196509,70.8,0.3
196609,68.5,-2.0
196709,64.6,-5.9
196809,68.9,-1.6
196909,68.1,-2.4
197009,73.2,2.7
197109,71.4,0.9
197209,70.3,-0.2
197309,72.6,2.1
197409,68.2,-2.3
197509,70.0,-0.5
197609,67.6,-2.9
197709,72.1,1.6
197809,71.8,1.3
197909,69.9,-0.6
198009,73.5,3.0
198109,67.6,-2.9
198209,68.0,-2.5
198309,69.8,-0.7
198409,67.0,-3.5
198509,69.4,-1.1
198609,70.8,0.3
198709,71.0,0.5
198809,68.7,-1.8
198909,70.2,-0.3
199009,70.0,-0.5
199109,69.9,-0.6
199209,70.3,-0.2
199309,71.7,1.2
199409,67.6,-2.9
199509,68.7,-1.8
199609,69.2,-1.3
199709,69.6,-0.9
199809,73.2,2.7
199909,68.6,-1.9
200009,69.1,-1.4
200109,67.6,-2.9
200209,72.2,1.7
200309,69.4,-1.1
200409,70.2,-0.3
200509,73.6,3.1
200609,68.1,-2.4
200709,72.4,1.9
200809,70.8,0.3
200909,69.6,-0.9
201009,73.1,2.6
201109,71.0,0.5
201209,69.8,-0.7
201309,69.4,-1.1
201409,71.2,0.7
201509,71.6,1.1
201609,74.3,3.8
201709,70.5,0.0
201809,76.2,5.7
201909,74.9,4.4
202009,69.8,-0.7
202109,70.9,0.4
